TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,arsénico total,coliformes fecales,dbo5,dqo,oxígeno,sólidos disueltos totales
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-03-05,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,5.9,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-06-11,6.0,2300.0,3.5355339059327378,35.35533905932737,9.5,370.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-09-10,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,8.4,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-11-26,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,6.7,274.0
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2026-03-10,2.82842712474619,1900.0,3.5355339059327378,35.35533905932737,7.7,274.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-05-29,2.82842712474619,1500.0,3.5355339059327378,35.35533905932737,5.3,163.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-09-04,5.0,1750.0,4.267766952966369,35.35533905932737,8.8,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2024-11-06,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,8.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-03-05,5.0,1750.0,4.267766952966369,35.35533905932737,6.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-06-11,5.0,2000.0,5.0,35.35533905932737,10.2,349.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-09-10,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,9.4,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-11-26,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,7.5,256.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2026-03-10,2.82842712474619,1750.0,4.267766952966369,35.35533905932737,9.1,256.0
